Území,Týdny,Ukazatel,Druh PHM,value
Česko, 09. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,36.04
Česko, 09. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,18.22
Česko, 09. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,100.0
Česko, 09. týden 2025,Index cen pohonných hmot (%),Motorová nafta,100.0
Česko, 09. týden 2025,Index cen pohonných hmot (%),LPG,99.9
Česko, 08. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,36.52
Česko, 08. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,36.05
Česko, 08. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,18.23
Česko, 08. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,100.2
Česko, 08. týden 2025,Index cen pohonných hmot (%),Motorová nafta,100.3
Česko, 08. týden 2025,Index cen pohonných hmot (%),LPG,100.5
Česko, 07. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,36.46
Česko, 07. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,35.96
Česko, 07. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,18.14
Česko, 07. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,99.9
Česko, 07. týden 2025,Index cen pohonných hmot (%),Motorová nafta,99.9
Česko, 07. týden 2025,Index cen pohonných hmot (%),LPG,100.8
Česko, 06. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,36.51
Česko, 06. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,36.01
Česko, 06. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,18.0
Česko, 06. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,99.2
Česko, 06. týden 2025,Index cen pohonných hmot (%),Motorová nafta,99.0
Česko, 06. týden 2025,Index cen pohonných hmot (%),LPG,99.9
Česko, 05. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,36.81
Česko, 05. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,36.37
Česko, 05. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,18.02
Česko, 05. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,100.8
Česko, 05. týden 2025,Index cen pohonných hmot (%),Motorová nafta,100.8
Česko, 05. týden 2025,Index cen pohonných hmot (%),LPG,100.7
Česko, 04. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,36.51
Česko, 04. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,36.08
Česko, 04. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,17.89
Česko, 04. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,101.4
Česko, 04. týden 2025,Index cen pohonných hmot (%),Motorová nafta,101.7
Česko, 04. týden 2025,Index cen pohonných hmot (%),LPG,100.6
Česko, 03. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,36.0
Česko, 03. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,35.49
Česko, 03. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,17.79
Česko, 03. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,100.6
Česko, 03. týden 2025,Index cen pohonných hmot (%),Motorová nafta,100.7
Česko, 03. týden 2025,Index cen pohonných hmot (%),LPG,100.0
Česko, 02. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,35.8
Česko, 02. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,35.24
Česko, 02. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,17.79
Česko, 02. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,100.5
Česko, 02. týden 2025,Index cen pohonných hmot (%),Motorová nafta,100.9
Česko, 02. týden 2025,Index cen pohonných hmot (%),LPG,100.0
Česko, 51. týden 2024,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,35.62
Česko, 51. týden 2024,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,34.92
Česko, 51. týden 2024,Průměrná cena pohonných hmot (Kč/litr),LPG,17.79
Česko, 51. týden 2024,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,
Česko, 51. týden 2024,Index cen pohonných hmot (%),Motorová nafta,
Česko, 51. týden 2024,Index cen pohonných hmot (%),LPG,
Česko, 50. týden 2024,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,35.72
Česko, 50. týden 2024,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,35.21
Česko, 50. týden 2024,Průměrná cena pohonných hmot (Kč/litr),LPG,17.74
Česko, 50. týden 2024,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,
Česko, 50. týden 2024,Index cen pohonných hmot (%),Motorová nafta,
Česko, 50. týden 2024,Index cen pohonných hmot (%),LPG,
Česko, 49. týden 2024,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,35.74
Česko, 49. týden 2024,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,35.26
Česko, 49. týden 2024,Průměrná cena pohonných hmot (Kč/litr),LPG,17.73
Česko, 49. týden 2024,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,
Česko, 49. týden 2024,Index cen pohonných hmot (%),Motorová nafta,
Česko, 49. týden 2024,Index cen pohonných hmot (%),LPG,
Česko, 48. týden 2024,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,35.68
Česko, 48. týden 2024,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,35.09
Česko, 48. týden 2024,Průměrná cena pohonných hmot (Kč/litr),LPG,17.65
Česko, 48. týden 2024,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,
Česko, 48. týden 2024,Index cen pohonných hmot (%),Motorová nafta,
Česko, 48. týden 2024,Index cen pohonných hmot (%),LPG,
Česko, 47. týden 2024,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,35.68
Česko, 47. týden 2024,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,34.74
Česko, 47. týden 2024,Průměrná cena pohonných hmot (Kč/litr),LPG,17.52
Česko, 47. týden 2024,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,
Česko, 47. týden 2024,Index cen pohonných hmot (%),Motorová nafta,
Česko, 47. týden 2024,Index cen pohonných hmot (%),LPG,
Česko, 46. týden 2024,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,35.76
Česko, 46. týden 2024,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,34.4
Česko, 46. týden 2024,Průměrná cena pohonných hmot (Kč/litr),LPG,17.29
Česko, 46. týden 2024,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,
Česko, 46. týden 2024,Index cen pohonných hmot (%),Motorová nafta,
