Území,Měsíce,Ukazatel,value
Česko,únor 2022,Podnikatelé - obchod,19.7
Česko,únor 2022,Podnikatelé - služby,31.0
Česko,únor 2022,Spotřebitelé,-16.5
Česko,leden 2022,Souhrnný indikátor,5.465
Česko,leden 2022,Podnikatelé,11.0
Česko,leden 2022,Podnikatelé - průmysl,-1.0
Česko,leden 2022,Podnikatelé - stavebnictví,2.7
Česko,leden 2022,Podnikatelé - obchod,21.6
Česko,leden 2022,Podnikatelé - služby,26.7
Česko,leden 2022,Spotřebitelé,-16.8
Česko,prosinec 2021,Souhrnný indikátor,3.305
Česko,prosinec 2021,Podnikatelé,8.4
Česko,prosinec 2021,Podnikatelé - průmysl,-4.7
Česko,prosinec 2021,Podnikatelé - stavebnictví,-5.5
Česko,prosinec 2021,Podnikatelé - obchod,23.0
Česko,prosinec 2021,Podnikatelé - služby,25.7
Česko,prosinec 2021,Spotřebitelé,-17.0
Česko,listopad 2021,Souhrnný indikátor,3.32
Česko,listopad 2021,Podnikatelé,8.4
Česko,listopad 2021,Podnikatelé - průmysl,-5.3
Česko,listopad 2021,Podnikatelé - stavebnictví,-6.5
Česko,listopad 2021,Podnikatelé - obchod,21.3
Česko,listopad 2021,Podnikatelé - služby,27.0
Česko,listopad 2021,Spotřebitelé,-17.0
Česko,říjen 2021,Souhrnný indikátor,3.76
Česko,říjen 2021,Podnikatelé,6.7
Česko,říjen 2021,Podnikatelé - průmysl,-10.0
Česko,říjen 2021,Podnikatelé - stavebnictví,-8.5
Česko,říjen 2021,Podnikatelé - obchod,22.7
Česko,říjen 2021,Podnikatelé - služby,28.7
Česko,říjen 2021,Spotřebitelé,-7.8
Česko,září 2021,Souhrnný indikátor,4.535
Česko,září 2021,Podnikatelé,7.4
Česko,září 2021,Podnikatelé - průmysl,-6.0
Česko,září 2021,Podnikatelé - stavebnictví,-8.5
Česko,září 2021,Podnikatelé - obchod,20.0
Česko,září 2021,Podnikatelé - služby,25.7
Česko,září 2021,Spotřebitelé,-6.75
Česko,srpen 2021,Souhrnný indikátor,6.56
Česko,srpen 2021,Podnikatelé,9.3
Česko,srpen 2021,Podnikatelé - průmysl,-1.3
Česko,srpen 2021,Podnikatelé - stavebnictví,-4.5
Česko,srpen 2021,Podnikatelé - obchod,18.3
Česko,srpen 2021,Podnikatelé - služby,24.3
Česko,srpen 2021,Spotřebitelé,-4.5
Česko,červenec 2021,Souhrnný indikátor,7.97
Česko,červenec 2021,Podnikatelé,11.8
Česko,červenec 2021,Podnikatelé - průmysl,0.3
Česko,červenec 2021,Podnikatelé - stavebnictví,-6.5
Česko,červenec 2021,Podnikatelé - obchod,21.3
Česko,červenec 2021,Podnikatelé - služby,28.7
Česko,červenec 2021,Spotřebitelé,-7.5
Česko,červen 2021,Souhrnný indikátor,12.425
Česko,červen 2021,Podnikatelé,16.8
Česko,červen 2021,Podnikatelé - průmysl,10.0
Česko,červen 2021,Podnikatelé - stavebnictví,-5.0
Česko,červen 2021,Podnikatelé - obchod,21.3
Česko,červen 2021,Podnikatelé - služby,28.7
Česko,červen 2021,Spotřebitelé,-5.0
Česko,květen 2021,Souhrnný indikátor,7.935
Česko,květen 2021,Podnikatelé,11.6
Česko,květen 2021,Podnikatelé - průmysl,5.3
Česko,květen 2021,Podnikatelé - stavebnictví,-5.5
Česko,květen 2021,Podnikatelé - obchod,15.0
Česko,květen 2021,Podnikatelé - služby,22.3
Česko,květen 2021,Spotřebitelé,-6.75
Česko,duben 2021,Souhrnný indikátor,3.01
Česko,duben 2021,Podnikatelé,6.8
Česko,duben 2021,Podnikatelé - průmysl,4.0
Česko,duben 2021,Podnikatelé - stavebnictví,-9.0
Česko,duben 2021,Podnikatelé - obchod,10.0
Česko,duben 2021,Podnikatelé - služby,12.7
Česko,duben 2021,Spotřebitelé,-12.25
Česko,březen 2021,Souhrnný indikátor,-4.4
Česko,březen 2021,Podnikatelé,-1.3
Česko,březen 2021,Podnikatelé - průmysl,-3.0
Česko,březen 2021,Podnikatelé - stavebnictví,-4.5
Česko,březen 2021,Podnikatelé - obchod,0.7
Česko,březen 2021,Podnikatelé - služby,1.3
Česko,březen 2021,Spotřebitelé,-17.0
Česko,únor 2021,Souhrnný indikátor,-1.605
Česko,únor 2021,Podnikatelé,2.1
Česko,únor 2021,Podnikatelé - průmysl,-1.3
Česko,únor 2021,Podnikatelé - stavebnictví,-6.0
Česko,únor 2021,Podnikatelé - obchod,1.3
Česko,únor 2021,Podnikatelé - služby,8.0
Česko,únor 2021,Spotřebitelé,-16.25
Česko,leden 2021,Souhrnný indikátor,-4.535
Česko,leden 2021,Podnikatelé,-1.9
Česko,leden 2021,Podnikatelé - průmysl,-5.3
Česko,leden 2021,Podnikatelé - stavebnictví,-11.0
Česko,leden 2021,Podnikatelé - obchod,4.7
Česko,leden 2021,Podnikatelé - služby,3.0
Česko,leden 2021,Spotřebitelé,-15.0
Česko,prosinec 2020,Souhrnný indikátor,-3.385
Česko,prosinec 2020,Podnikatelé,-1.0
Česko,prosinec 2020,Podnikatelé - průmysl,-5.0
Česko,prosinec 2020,Podnikatelé - stavebnictví,-9.0
Česko,prosinec 2020,Podnikatelé - obchod,8.3
Česko,prosinec 2020,Podnikatelé - služby,4.0
Česko,prosinec 2020,Spotřebitelé,-12.75
Česko,listopad 2020,Souhrnný indikátor,-9.425
Česko,listopad 2020,Podnikatelé,-7.2
Česko,listopad 2020,Podnikatelé - průmysl,-10.0
Česko,listopad 2020,Podnikatelé - stavebnictví,-11.5
Česko,listopad 2020,Podnikatelé - obchod,7.0
Česko,listopad 2020,Podnikatelé - služby,-5.0
