Území;Náklady práce;Ukazatel;Roky;value
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2001;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2002;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2003;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2004;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2005;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2006;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2007;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2008;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2009;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2010;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2011;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2012;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2013;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2014;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2015;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2016;-1074.1124746078
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2017;-951.0364176577
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2018;-950.833296355
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2019;-1008.1978293177
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2020;-3369.6430320971
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2021;-6286.4166362356
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2022;-1707.3143023546
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2023;-1222.1225867102
