Kraje,Dvouleté období (kraje),Pohlaví,Věk (roky),Ukazatel,value
Hlavní město Praha,2023-2024,muži,29,Počet zemřelých (Dx),14.0
Hlavní město Praha,2023-2024,muži,29,Počet obyvatel (Px),17951.0
Hlavní město Praha,2023-2024,muži,29,Míra úmrtnosti (mx),0.0005904046
Hlavní město Praha,2023-2024,muži,29,Pravděpodobnost úmrtí (qx),0.0005902304
Hlavní město Praha,2023-2024,muži,29,Tabulkový počet dožívajících (lx),99047.403744055
Hlavní město Praha,2023-2024,muži,29,Tabulkový počet zemřelých (dx),58.4607853869
Hlavní město Praha,2023-2024,muži,29,Tabulkový počet žijících (Lx),99018.1733513615
Hlavní město Praha,2023-2024,muži,29,Pomocný ukazatel (Tx),4994384.32126653
Hlavní město Praha,2023-2024,muži,29,Naděje dožití (ex),50.4241820833
Hlavní město Praha,2023-2024,muži,30,Počet zemřelých (Dx),10.0
Hlavní město Praha,2023-2024,muži,30,Počet obyvatel (Px),19401.0
Hlavní město Praha,2023-2024,muži,30,Míra úmrtnosti (mx),0.0006259142
Hlavní město Praha,2023-2024,muži,30,Pravděpodobnost úmrtí (qx),0.0006257184
Hlavní město Praha,2023-2024,muži,30,Tabulkový počet dožívajících (lx),98988.9429586681
Hlavní město Praha,2023-2024,muži,30,Tabulkový počet zemřelých (dx),61.9391984208
Hlavní město Praha,2023-2024,muži,30,Tabulkový počet žijících (Lx),98957.9733594577
Hlavní město Praha,2023-2024,muži,30,Pomocný ukazatel (Tx),4895366.14791517
Hlavní město Praha,2023-2024,muži,30,Naděje dožití (ex),49.453666254
Hlavní město Praha,2023-2024,muži,31,Počet zemřelých (Dx),14.0
Hlavní město Praha,2023-2024,muži,31,Počet obyvatel (Px),20448.0
Hlavní město Praha,2023-2024,muži,31,Míra úmrtnosti (mx),0.0006718119
Hlavní město Praha,2023-2024,muži,31,Pravděpodobnost úmrtí (qx),0.0006715863
Hlavní město Praha,2023-2024,muži,31,Tabulkový počet dožívajících (lx),98927.0037602474
Hlavní město Praha,2023-2024,muži,31,Tabulkový počet zemřelých (dx),66.4380200564
Hlavní město Praha,2023-2024,muži,31,Tabulkový počet žijících (Lx),98893.7847502192
Hlavní město Praha,2023-2024,muži,31,Pomocný ukazatel (Tx),4796408.17455572
Hlavní město Praha,2023-2024,muži,31,Naděje dožití (ex),48.48431664
Hlavní město Praha,2023-2024,muži,32,Počet zemřelých (Dx),15.0
Hlavní město Praha,2023-2024,muži,32,Počet obyvatel (Px),21317.0
Hlavní město Praha,2023-2024,muži,32,Míra úmrtnosti (mx),0.000727687
Hlavní město Praha,2023-2024,muži,32,Pravděpodobnost úmrtí (qx),0.0007274224
Hlavní město Praha,2023-2024,muži,32,Tabulkový počet dožívajících (lx),98860.565740191
Hlavní město Praha,2023-2024,muži,32,Tabulkový počet zemřelých (dx),71.9133853178
Hlavní město Praha,2023-2024,muži,32,Tabulkový počet žijících (Lx),98824.6090475321
Hlavní město Praha,2023-2024,muži,32,Pomocný ukazatel (Tx),4697514.3898055
