Ukazatel;Kraje;Pohlaví;Věk (roky);Dvouleté období (kraje);value
Naděje dožití (ex);Hlavní město Praha;muži;33;2004-2005;42.71569126
Naděje dožití (ex);Hlavní město Praha;muži;33;2005-2006;43.19776491
Naděje dožití (ex);Hlavní město Praha;muži;33;2006-2007;43.52544153
Naděje dožití (ex);Hlavní město Praha;muži;33;2007-2008;43.77074128
Naděje dožití (ex);Hlavní město Praha;muži;33;2008-2009;44.02584206
Naděje dožití (ex);Hlavní město Praha;muži;33;2009-2010;44.1019663
Naděje dožití (ex);Hlavní město Praha;muži;33;2010-2011;44.36735616
Naděje dožití (ex);Hlavní město Praha;muži;33;2011-2012;44.60758535
Naděje dožití (ex);Hlavní město Praha;muži;33;2012-2013;44.88924719
Naděje dožití (ex);Hlavní město Praha;muži;33;2013-2014;45.21463234
Naděje dožití (ex);Hlavní město Praha;muži;33;2014-2015;45.30749783
Naděje dožití (ex);Hlavní město Praha;muži;33;2015-2016;45.46090897
Naděje dožití (ex);Hlavní město Praha;muži;33;2016-2017;45.70562773
Naděje dožití (ex);Hlavní město Praha;muži;33;2017-2018;45.8816293957
Naděje dožití (ex);Hlavní město Praha;muži;33;2018-2019;46.1017472236
Naděje dožití (ex);Hlavní město Praha;muži;33;2019-2020;45.8089256128
Naděje dožití (ex);Hlavní město Praha;muži;33;2020-2021;44.6733905555
Naděje dožití (ex);Hlavní město Praha;muži;33;2021-2022;44.8080323308
Naděje dožití (ex);Hlavní město Praha;muži;33;2022-2023;45.96420702
Naděje dožití (ex);Hlavní město Praha;muži;34;2001-2002;40.89576431
Naděje dožití (ex);Hlavní město Praha;muži;34;2002-2003;40.88002733
Naděje dožití (ex);Hlavní město Praha;muži;34;2003-2004;41.19994786
Naděje dožití (ex);Hlavní město Praha;muži;34;2004-2005;41.75350126
Naděje dožití (ex);Hlavní město Praha;muži;34;2005-2006;42.23548878
Naděje dožití (ex);Hlavní město Praha;muži;34;2006-2007;42.56067993
Naděje dožití (ex);Hlavní město Praha;muži;34;2007-2008;42.80699291
Naděje dožití (ex);Hlavní město Praha;muži;34;2008-2009;43.06298646
Naděje dožití (ex);Hlavní město Praha;muži;34;2009-2010;43.13739265
Naděje dožití (ex);Hlavní město Praha;muži;34;2010-2011;43.40236572
Naděje dožití (ex);Hlavní město Praha;muži;34;2011-2012;43.64245971
Naděje dožití (ex);Hlavní město Praha;muži;34;2012-2013;43.92313639
Naděje dožití (ex);Hlavní město Praha;muži;34;2013-2014;44.24756645
Naděje dožití (ex);Hlavní město Praha;muži;34;2014-2015;44.34272754
Naděje dožití (ex);Hlavní město Praha;muži;34;2015-2016;44.49151149
Naděje dožití (ex);Hlavní město Praha;muži;34;2016-2017;44.73297475
Naděje dožití (ex);Hlavní město Praha;muži;34;2017-2018;44.9114973028
Naděje dožití (ex);Hlavní město Praha;muži;34;2018-2019;45.1328975276
Naděje dožití (ex);Hlavní město Praha;muži;34;2019-2020;44.8397052247
Naděje dožití (ex);Hlavní město Praha;muži;34;2020-2021;43.7069171849
Naděje dožití (ex);Hlavní město Praha;muži;34;2021-2022;43.8458730725
Naděje dožití (ex);Hlavní město Praha;muži;34;2022-2023;45.00282531
Naděje dožití (ex);Hlavní město Praha;muži;35;2001-2002;39.94774817
Naděje dožití (ex);Hlavní město Praha;muži;35;2002-2003;39.93123167
Naděje dožití (ex);Hlavní město Praha;muži;35;2003-2004;40.25143886
Naděje dožití (ex);Hlavní město Praha;muži;35;2004-2005;40.79290351
Naděje dožití (ex);Hlavní město Praha;muži;35;2005-2006;41.27464254
Naděje dožití (ex);Hlavní město Praha;muži;35;2006-2007;41.59750709
Naděje dožití (ex);Hlavní město Praha;muži;35;2007-2008;41.84420558
Naděje dožití (ex);Hlavní město Praha;muži;35;2008-2009;42.10126161
Naděje dožití (ex);Hlavní město Praha;muži;35;2009-2010;42.17434596
Naděje dožití (ex);Hlavní město Praha;muži;35;2010-2011;42.43820418
Naděje dožití (ex);Hlavní město Praha;muži;35;2011-2012;42.67866538
Naděje dožití (ex);Hlavní město Praha;muži;35;2012-2013;42.95833829
Naděje dožití (ex);Hlavní město Praha;muži;35;2013-2014;43.28127141
Naděje dožití (ex);Hlavní město Praha;muži;35;2014-2015;43.37886309
Naděje dožití (ex);Hlavní město Praha;muži;35;2015-2016;43.52385508
Naděje dožití (ex);Hlavní město Praha;muži;35;2016-2017;43.76231829
Naděje dožití (ex);Hlavní město Praha;muži;35;2017-2018;43.9431224785
Naděje dožití (ex);Hlavní město Praha;muži;35;2018-2019;44.1648936673
Naděje dožití (ex);Hlavní město Praha;muži;35;2019-2020;43.87077185
Naděje dožití (ex);Hlavní město Praha;muži;35;2020-2021;42.7421554909
Naděje dožití (ex);Hlavní město Praha;muži;35;2021-2022;42.8857088795
Naděje dožití (ex);Hlavní město Praha;muži;35;2022-2023;44.04402305
Naděje dožití (ex);Hlavní město Praha;muži;36;2001-2002;39.00334347
Naděje dožití (ex);Hlavní město Praha;muži;36;2002-2003;38.98465951
Naděje dožití (ex);Hlavní město Praha;muži;36;2003-2004;39.30506318
Naděje dožití (ex);Hlavní město Praha;muži;36;2004-2005;39.83554486
Naděje dožití (ex);Hlavní město Praha;muži;36;2005-2006;40.31566814
Naděje dožití (ex);Hlavní město Praha;muži;36;2006-2007;40.63651565
Naděje dožití (ex);Hlavní město Praha;muži;36;2007-2008;40.8828076
Naděje dožití (ex);Hlavní město Praha;muži;36;2008-2009;41.14099105
Naděje dožití (ex);Hlavní město Praha;muži;36;2009-2010;41.2129833
Naděje dožití (ex);Hlavní město Praha;muži;36;2010-2011;41.47499039
Naděje dožití (ex);Hlavní město Praha;muži;36;2011-2012;41.71635524
Naděje dožití (ex);Hlavní město Praha;muži;36;2012-2013;41.9948999
Naděje dožití (ex);Hlavní město Praha;muži;36;2013-2014;42.31559926
Naděje dožití (ex);Hlavní město Praha;muži;36;2014-2015;42.41582631
Naděje dožití (ex);Hlavní město Praha;muži;36;2015-2016;42.55836961
Naděje dožití (ex);Hlavní město Praha;muži;36;2016-2017;42.79424521
Naděje dožití (ex);Hlavní město Praha;muži;36;2017-2018;42.9767291777
Naděje dožití (ex);Hlavní město Praha;muži;36;2018-2019;43.1972259142
Naděje dožití (ex);Hlavní město Praha;muži;36;2019-2020;42.9017886935
Naděje dožití (ex);Hlavní město Praha;muži;36;2020-2021;41.7787661387
Naděje dožití (ex);Hlavní město Praha;muži;36;2021-2022;41.9270064355
Naděje dožití (ex);Hlavní město Praha;muži;36;2022-2023;43.08774776
Naděje dožití (ex);Hlavní město Praha;muži;37;2001-2002;38.06198887
Naděje dožití (ex);Hlavní město Praha;muži;37;2002-2003;38.04042152
Naděje dožití (ex);Hlavní město Praha;muži;37;2003-2004;38.36096481
Naděje dožití (ex);Hlavní město Praha;muži;37;2004-2005;38.88280663
Naděje dožití (ex);Hlavní město Praha;muži;37;2005-2006;39.35899745
Naděje dožití (ex);Hlavní město Praha;muži;37;2006-2007;39.67812217
Naděje dožití (ex);Hlavní město Praha;muži;37;2007-2008;39.92323211
Naděje dožití (ex);Hlavní město Praha;muži;37;2008-2009;40.18255238
Naděje dožití (ex);Hlavní město Praha;muži;37;2009-2010;40.25352752
Naděje dožití (ex);Hlavní město Praha;muži;37;2010-2011;40.51297955
Naděje dožití (ex);Hlavní město Praha;muži;37;2011-2012;40.7557362
Naděje dožití (ex);Hlavní město Praha;muži;37;2012-2013;41.03292698
Naděje dožití (ex);Hlavní město Praha;muži;37;2013-2014;41.35060666
Naděje dožití (ex);Hlavní město Praha;muži;37;2014-2015;41.45372647
Naděje dožití (ex);Hlavní město Praha;muži;37;2015-2016;41.59536578
Naděje dožití (ex);Hlavní město Praha;muži;37;2016-2017;41.8292911
Naděje dožití (ex);Hlavní město Praha;muži;37;2017-2018;42.0125686094
Naděje dožití (ex);Hlavní město Praha;muži;37;2018-2019;42.2298193792
Naděje dožití (ex);Hlavní město Praha;muži;37;2019-2020;41.932914025
Naděje dožití (ex);Hlavní město Praha;muži;37;2020-2021;40.8165234091
Naděje dožití (ex);Hlavní město Praha;muži;37;2021-2022;40.9693558031
Naděje dožití (ex);Hlavní město Praha;muži;37;2022-2023;42.1338416
Naděje dožití (ex);Hlavní město Praha;muži;38;2001-2002;37.12293756
Naděje dožití (ex);Hlavní město Praha;muži;38;2002-2003;37.09871679
Naděje dožití (ex);Hlavní město Praha;muži;38;2003-2004;37.41934329
Naděje dožití (ex);Hlavní město Praha;muži;38;2004-2005;37.93535904
Naděje dožití (ex);Hlavní město Praha;muži;38;2005-2006;38.40503369
Naděje dožití (ex);Hlavní město Praha;muži;38;2006-2007;38.72248009
Naděje dožití (ex);Hlavní město Praha;muži;38;2007-2008;38.96591096
Naděje dožití (ex);Hlavní město Praha;muži;38;2008-2009;39.2263822
Naděje dožití (ex);Hlavní město Praha;muži;38;2009-2010;39.29629329
Naděje dožití (ex);Hlavní město Praha;muži;38;2010-2011;39.5526048
Naděje dožití (ex);Hlavní město Praha;muži;38;2011-2012;39.79708575
Naděje dožití (ex);Hlavní město Praha;muži;38;2012-2013;40.07261812
Naděje dožití (ex);Hlavní město Praha;muži;38;2013-2014;40.38666113
Naděje dožití (ex);Hlavní město Praha;muži;38;2014-2015;40.49294699
Naděje dožití (ex);Hlavní město Praha;muži;38;2015-2016;40.63499791
Naděje dožití (ex);Hlavní město Praha;muži;38;2016-2017;40.86787687
Naděje dožití (ex);Hlavní město Praha;muži;38;2017-2018;41.0509337696
Naděje dožití (ex);Hlavní město Praha;muži;38;2018-2019;41.263198636
Naděje dožití (ex);Hlavní město Praha;muži;38;2019-2020;40.9649159094
Naděje dožití (ex);Hlavní město Praha;muži;38;2020-2021;39.8553846234
Naděje dožití (ex);Hlavní město Praha;muži;38;2021-2022;40.0125516076
Naděje dožití (ex);Hlavní město Praha;muži;38;2022-2023;41.18195598
Naděje dožití (ex);Hlavní město Praha;muži;39;2001-2002;36.18551674
Naděje dožití (ex);Hlavní město Praha;muži;39;2002-2003;36.15986067
Naděje dožití (ex);Hlavní město Praha;muži;39;2003-2004;36.48046496
Naděje dožití (ex);Hlavní město Praha;muži;39;2004-2005;36.99301669
Naděje dožití (ex);Hlavní město Praha;muži;39;2005-2006;37.45416244
Naděje dožití (ex);Hlavní město Praha;muži;39;2006-2007;37.76952985
Naděje dožití (ex);Hlavní město Praha;muži;39;2007-2008;38.01127805
Naděje dožití (ex);Hlavní město Praha;muži;39;2008-2009;38.27296447
Naděje dožití (ex);Hlavní město Praha;muži;39;2009-2010;38.34167162
Naděje dožití (ex);Hlavní město Praha;muži;39;2010-2011;38.59445598
Naděje dožití (ex);Hlavní město Praha;muži;39;2011-2012;38.84075323
Naděje dožití (ex);Hlavní město Praha;muži;39;2012-2013;39.11426656
Naděje dožití (ex);Hlavní město Praha;muži;39;2013-2014;39.42441479
Naděje dožití (ex);Hlavní město Praha;muži;39;2014-2015;39.53413495
Naděje dožití (ex);Hlavní město Praha;muži;39;2015-2016;39.67730832
Naděje dožití (ex);Hlavní město Praha;muži;39;2016-2017;39.91026386
Naděje dožití (ex);Hlavní město Praha;muži;39;2017-2018;40.0921437969
Naděje dožití (ex);Hlavní město Praha;muži;39;2018-2019;40.2983134553
Naděje dožití (ex);Hlavní město Praha;muži;39;2019-2020;39.9989941485
Naděje dožití (ex);Hlavní město Praha;muži;39;2020-2021;38.8955483029
Naděje dožití (ex);Hlavní město Praha;muži;39;2021-2022;39.0566519875
Naděje dožití (ex);Hlavní město Praha;muži;39;2022-2023;40.23163911
Naděje dožití (ex);Hlavní město Praha;muži;40;2001-2002;35.24983376
Naděje dožití (ex);Hlavní město Praha;muži;40;2002-2003;35.22434099
Naděje dožití (ex);Hlavní město Praha;muži;40;2003-2004;35.54468066
Naděje dožití (ex);Hlavní město Praha;muži;40;2004-2005;36.05506315
Naděje dožití (ex);Hlavní město Praha;muži;40;2005-2006;36.50679997
Naděje dožití (ex);Hlavní město Praha;muži;40;2006-2007;36.8193029
Naděje dožití (ex);Hlavní město Praha;muži;40;2007-2008;37.05977136
Naděje dožití (ex);Hlavní město Praha;muži;40;2008-2009;37.32276484
Naděje dožití (ex);Hlavní město Praha;muži;40;2009-2010;37.39004733
Naděje dožití (ex);Hlavní město Praha;muži;40;2010-2011;37.63915766
Naděje dožití (ex);Hlavní město Praha;muži;40;2011-2012;37.8871392
Naděje dožití (ex);Hlavní město Praha;muži;40;2012-2013;38.15823818
Naděje dožití (ex);Hlavní město Praha;muži;40;2013-2014;38.46467912
Naděje dožití (ex);Hlavní město Praha;muži;40;2014-2015;38.57811469
Naděje dožití (ex);Hlavní město Praha;muži;40;2015-2016;38.7224654
Naděje dožití (ex);Hlavní město Praha;muži;40;2016-2017;38.95654152
Naděje dožití (ex);Hlavní město Praha;muži;40;2017-2018;39.136478887
Naděje dožití (ex);Hlavní město Praha;muži;40;2018-2019;39.3359677482
Naděje dožití (ex);Hlavní město Praha;muži;40;2019-2020;39.0361527007
Naděje dožití (ex);Hlavní město Praha;muži;40;2020-2021;37.9375798757
Naděje dožití (ex);Hlavní město Praha;muži;40;2021-2022;38.1020949718
Naděje dožití (ex);Hlavní město Praha;muži;40;2022-2023;39.28263186
Naděje dožití (ex);Hlavní město Praha;muži;41;2001-2002;34.31698497
Naděje dožití (ex);Hlavní město Praha;muži;41;2002-2003;34.29286096
Naděje dožití (ex);Hlavní město Praha;muži;41;2003-2004;34.61244263
Naděje dožití (ex);Hlavní město Praha;muži;41;2004-2005;35.12028431
Naděje dožití (ex);Hlavní město Praha;muži;41;2005-2006;35.56340625
Naděje dožití (ex);Hlavní město Praha;muži;41;2006-2007;35.87200927
Naděje dožití (ex);Hlavní město Praha;muži;41;2007-2008;36.11183022
Naděje dožití (ex);Hlavní město Praha;muži;41;2008-2009;36.3762074
Naděje dožití (ex);Hlavní město Praha;muži;41;2009-2010;36.44177554
Naděje dožití (ex);Hlavní město Praha;muži;41;2010-2011;36.6873535
Naděje dožití (ex);Hlavní město Praha;muži;41;2011-2012;36.93669989
Naděje dožití (ex);Hlavní město Praha;muži;41;2012-2013;37.20498023
Naděje dožití (ex);Hlavní město Praha;muži;41;2013-2014;37.50845515
Naděje dožití (ex);Hlavní město Praha;muži;41;2014-2015;37.62592631
Naděje dožití (ex);Hlavní město Praha;muži;41;2015-2016;37.77084547
Naděje dožití (ex);Hlavní město Praha;muži;41;2016-2017;38.0065768
Naděje dožití (ex);Hlavní město Praha;muži;41;2017-2018;38.1841507086
Naděje dožití (ex);Hlavní město Praha;muži;41;2018-2019;38.376684951
Naděje dožití (ex);Hlavní město Praha;muži;41;2019-2020;38.0770225326
Naděje dožití (ex);Hlavní město Praha;muži;41;2020-2021;36.9825043281
Naděje dožití (ex);Hlavní město Praha;muži;41;2021-2022;37.1497655137
Naděje dožití (ex);Hlavní město Praha;muži;41;2022-2023;38.33494865
Naděje dožití (ex);Hlavní město Praha;muži;42;2001-2002;33.38873344
Naděje dožití (ex);Hlavní město Praha;muži;42;2002-2003;33.36629323
Naděje dožití (ex);Hlavní město Praha;muži;42;2003-2004;33.68430654
Naděje dožití (ex);Hlavní město Praha;muži;42;2004-2005;34.18757007
Naděje dožití (ex);Hlavní město Praha;muži;42;2005-2006;34.62450105
Naděje dožití (ex);Hlavní město Praha;muži;42;2006-2007;34.92804818
Naděje dožití (ex);Hlavní město Praha;muži;42;2007-2008;35.167912
Naděje dožití (ex);Hlavní město Praha;muži;42;2008-2009;35.43368046
Naděje dožití (ex);Hlavní město Praha;muži;42;2009-2010;35.49717406
Naděje dožití (ex);Hlavní město Praha;muži;42;2010-2011;35.73969162
Naděje dožití (ex);Hlavní město Praha;muži;42;2011-2012;35.98994694
Naděje dožití (ex);Hlavní město Praha;muži;42;2012-2013;36.25500192
Naděje dožití (ex);Hlavní město Praha;muži;42;2013-2014;36.55687231
Naděje dožití (ex);Hlavní město Praha;muži;42;2014-2015;36.67874711
Naděje dožití (ex);Hlavní město Praha;muži;42;2015-2016;36.82295562
Naděje dožití (ex);Hlavní město Praha;muži;42;2016-2017;37.06012186
Naděje dožití (ex);Hlavní město Praha;muži;42;2017-2018;37.2353786102
Naděje dožití (ex);Hlavní město Praha;muži;42;2018-2019;37.4208362727
Naděje dožití (ex);Hlavní město Praha;muži;42;2019-2020;37.1219133029
Naděje dožití (ex);Hlavní město Praha;muži;42;2020-2021;36.0315838984
Naděje dožití (ex);Hlavní město Praha;muži;42;2021-2022;36.2008202306
Naděje dožití (ex);Hlavní město Praha;muži;42;2022-2023;37.38887428
Naděje dožití (ex);Hlavní město Praha;muži;43;2001-2002;32.46677033
Naděje dožití (ex);Hlavní město Praha;muži;43;2002-2003;32.44553846
Naděje dožití (ex);Hlavní město Praha;muži;43;2003-2004;32.76091915
Naděje dožití (ex);Hlavní město Praha;muži;43;2004-2005;33.25706657
Naděje dožití (ex);Hlavní město Praha;muži;43;2005-2006;33.69069282
Naděje dožití (ex);Hlavní město Praha;muži;43;2006-2007;33.98799406
Naděje dožití (ex);Hlavní město Praha;muži;43;2007-2008;34.22853266
Naděje dožití (ex);Hlavní město Praha;muži;43;2008-2009;34.49556544
Naděje dožití (ex);Hlavní město Praha;muži;43;2009-2010;34.55651879
Naděje dožití (ex);Hlavní město Praha;muži;43;2010-2011;34.79678295
Naděje dožití (ex);Hlavní město Praha;muži;43;2011-2012;35.04743564
Naděje dožití (ex);Hlavní město Praha;muži;43;2012-2013;35.30881584
Naděje dožití (ex);Hlavní město Praha;muži;43;2013-2014;35.61095639
Naděje dožití (ex);Hlavní město Praha;muži;43;2014-2015;35.73761654
Naděje dožití (ex);Hlavní město Praha;muži;43;2015-2016;35.87921673
Naděje dožití (ex);Hlavní město Praha;muži;43;2016-2017;36.11710835
Naděje dožití (ex);Hlavní město Praha;muži;43;2017-2018;36.2905784375
Naděje dožití (ex);Hlavní město Praha;muži;43;2018-2019;36.4689987343
Naděje dožití (ex);Hlavní město Praha;muži;43;2019-2020;36.1710816219
Naděje dožití (ex);Hlavní město Praha;muži;43;2020-2021;35.0857028013
Naděje dožití (ex);Hlavní město Praha;muži;43;2021-2022;35.2562561407
Naděje dožití (ex);Hlavní město Praha;muži;43;2022-2023;36.44493756
Naděje dožití (ex);Hlavní město Praha;muži;44;2001-2002;31.55260896
Naděje dožití (ex);Hlavní město Praha;muži;44;2002-2003;31.53150114
Naděje dožití (ex);Hlavní město Praha;muži;44;2003-2004;31.84303237
Naděje dožití (ex);Hlavní město Praha;muži;44;2004-2005;32.33044949
Naděje dožití (ex);Hlavní město Praha;muži;44;2005-2006;32.76269723
Naděje dožití (ex);Hlavní město Praha;muži;44;2006-2007;33.05263379
Naděje dožití (ex);Hlavní město Praha;muži;44;2007-2008;33.29428058
Naděje dožití (ex);Hlavní město Praha;muži;44;2008-2009;33.56223343
Naděje dožití (ex);Hlavní město Praha;muži;44;2009-2010;33.6200303
Naděje dožití (ex);Hlavní město Praha;muži;44;2010-2011;33.85916792
Naděje dožití (ex);Hlavní město Praha;muži;44;2011-2012;34.10976632
Naděje dožití (ex);Hlavní město Praha;muži;44;2012-2013;34.36692354
Naděje dožití (ex);Hlavní město Praha;muži;44;2013-2014;34.67150447
Naděje dožití (ex);Hlavní město Praha;muži;44;2014-2015;34.80329067
Naděje dožití (ex);Hlavní město Praha;muži;44;2015-2016;34.93990023
Naděje dožití (ex);Hlavní město Praha;muži;44;2016-2017;35.17774093
Naděje dožití (ex);Hlavní město Praha;muži;44;2017-2018;35.3504343049
Naděje dožití (ex);Hlavní město Praha;muži;44;2018-2019;35.5220561741
Naděje dožití (ex);Hlavní město Praha;muži;44;2019-2020;35.224748391
Naděje dožití (ex);Hlavní město Praha;muži;44;2020-2021;34.1451140059
Naděje dožití (ex);Hlavní město Praha;muži;44;2021-2022;34.3168026398
Naděje dožití (ex);Hlavní město Praha;muži;44;2022-2023;35.50394427
Naděje dožití (ex);Hlavní město Praha;muži;45;2001-2002;30.64754674
Naděje dožití (ex);Hlavní město Praha;muži;45;2002-2003;30.62505756
Naděje dožití (ex);Hlavní město Praha;muži;45;2003-2004;30.93147813
Naděje dožití (ex);Hlavní město Praha;muži;45;2004-2005;31.41016861
Naděje dožití (ex);Hlavní město Praha;muži;45;2005-2006;31.84131533
Naděje dožití (ex);Hlavní město Praha;muži;45;2006-2007;32.12294502
Naděje dožití (ex);Hlavní město Praha;muži;45;2007-2008;32.36583496
Naděje dožití (ex);Hlavní město Praha;muži;45;2008-2009;32.63409906
Naděje dožití (ex);Hlavní město Praha;muži;45;2009-2010;32.68795324
Naděje dožití (ex);Hlavní město Praha;muži;45;2010-2011;32.92734758
Naděje dožití (ex);Hlavní město Praha;muži;45;2011-2012;33.17757977
Naděje dožití (ex);Hlavní město Praha;muži;45;2012-2013;33.42981938
Naděje dožití (ex);Hlavní město Praha;muži;45;2013-2014;33.73898321
Naděje dožití (ex);Hlavní město Praha;muži;45;2014-2015;33.87614766
Naděje dožití (ex);Hlavní město Praha;muži;45;2015-2016;34.00517459
Naděje dožití (ex);Hlavní město Praha;muži;45;2016-2017;34.24245661
Naděje dožití (ex);Hlavní město Praha;muži;45;2017-2018;34.415749283
Naděje dožití (ex);Hlavní město Praha;muži;45;2018-2019;34.5809039622
Naděje dožití (ex);Hlavní město Praha;muži;45;2019-2020;34.2830416408
Naděje dožití (ex);Hlavní město Praha;muži;45;2020-2021;33.2095900095
Naděje dožití (ex);Hlavní město Praha;muži;45;2021-2022;33.3829227836
Naděje dožití (ex);Hlavní město Praha;muži;45;2022-2023;34.56682887
Naděje dožití (ex);Hlavní město Praha;muži;46;2001-2002;29.75259738
Naděje dožití (ex);Hlavní město Praha;muži;46;2002-2003;29.72700452
Naděje dožití (ex);Hlavní město Praha;muži;46;2003-2004;30.02712221
Naděje dožití (ex);Hlavní město Praha;muži;46;2004-2005;30.49835675
Naděje dožití (ex);Hlavní město Praha;muži;46;2005-2006;30.92738943
Naděje dožití (ex);Hlavní město Praha;muži;46;2006-2007;31.20004764
Naděje dožití (ex);Hlavní město Praha;muži;46;2007-2008;31.44399051
Naděje dožití (ex);Hlavní město Praha;muži;46;2008-2009;31.71170641
Naděje dožití (ex);Hlavní město Praha;muži;46;2009-2010;31.76068132
Naděje dožití (ex);Hlavní město Praha;muži;46;2010-2011;32.00184844
Naděje dožití (ex);Hlavní město Praha;muži;46;2011-2012;32.25154698
Naděje dožití (ex);Hlavní město Praha;muži;46;2012-2013;32.49799859
Naděje dožití (ex);Hlavní město Praha;muži;46;2013-2014;32.81342551
Naděje dožití (ex);Hlavní město Praha;muži;46;2014-2015;32.9561109
Naděje dožití (ex);Hlavní město Praha;muži;46;2015-2016;33.07519692
Naděje dožití (ex);Hlavní město Praha;muži;46;2016-2017;33.31184401
Naděje dožití (ex);Hlavní město Praha;muži;46;2017-2018;33.4871815245
Naděje dožití (ex);Hlavní město Praha;muži;46;2018-2019;33.6459065815
Naděje dožití (ex);Hlavní město Praha;muži;46;2019-2020;33.3459147775
Naděje dožití (ex);Hlavní město Praha;muži;46;2020-2021;32.2787991803
Naděje dožití (ex);Hlavní město Praha;muži;46;2021-2022;32.4548464119
Naděje dožití (ex);Hlavní město Praha;muži;46;2022-2023;33.63442972
Naděje dožití (ex);Hlavní město Praha;muži;47;2001-2002;28.86833418
Naděje dožití (ex);Hlavní město Praha;muži;47;2002-2003;28.838009
Naděje dožití (ex);Hlavní město Praha;muži;47;2003-2004;29.13085284
Naděje dožití (ex);Hlavní město Praha;muži;47;2004-2005;29.59660269
Naděje dožití (ex);Hlavní město Praha;muži;47;2005-2006;30.02178983
Naděje dožití (ex);Hlavní město Praha;muži;47;2006-2007;30.28521879
Naděje dožití (ex);Hlavní město Praha;muži;47;2007-2008;30.52967442
Naděje dožití (ex);Hlavní město Praha;muži;47;2008-2009;30.79576238
Naděje dožití (ex);Hlavní město Praha;muži;47;2009-2010;30.83880094
Naděje dožití (ex);Hlavní město Praha;muži;47;2010-2011;31.08322495
Naděje dožití (ex);Hlavní město Praha;muži;47;2011-2012;31.33235907
Naděje dožití (ex);Hlavní město Praha;muži;47;2012-2013;31.57194935
Naděje dožití (ex);Hlavní město Praha;muži;47;2013-2014;31.89429952
Naděje dožití (ex);Hlavní město Praha;muži;47;2014-2015;32.04252731
Naděje dožití (ex);Hlavní město Praha;muži;47;2015-2016;32.15011658
Naděje dožití (ex);Hlavní město Praha;muži;47;2016-2017;32.38665596
Naděje dožití (ex);Hlavní město Praha;muži;47;2017-2018;32.5651528563
Naděje dožití (ex);Hlavní město Praha;muži;47;2018-2019;32.7166703555
Naděje dožití (ex);Hlavní město Praha;muži;47;2019-2020;32.413129801
Naděje dožití (ex);Hlavní město Praha;muži;47;2020-2021;31.3523672232
Naděje dožití (ex);Hlavní město Praha;muži;47;2021-2022;31.5325149522
Naděje dožití (ex);Hlavní město Praha;muži;47;2022-2023;32.70744524
Naděje dožití (ex);Hlavní město Praha;muži;48;2001-2002;27.99495371
Naděje dožití (ex);Hlavní město Praha;muži;48;2002-2003;27.95863326
Naděje dožití (ex);Hlavní město Praha;muži;48;2003-2004;28.24355871
Naděje dožití (ex);Hlavní město Praha;muži;48;2004-2005;28.70569221
Naděje dožití (ex);Hlavní město Praha;muži;48;2005-2006;29.12539963
Naděje dožití (ex);Hlavní město Praha;muži;48;2006-2007;29.37977565
Naděje dožití (ex);Hlavní město Praha;muži;48;2007-2008;29.62386618
Naděje dožití (ex);Hlavní město Praha;muži;48;2008-2009;29.88710118
Naděje dožití (ex);Hlavní město Praha;muži;48;2009-2010;29.92309272
Naděje dožití (ex);Hlavní město Praha;muži;48;2010-2011;30.172065
Naděje dožití (ex);Hlavní město Praha;muži;48;2011-2012;30.4206892
Naděje dožití (ex);Hlavní město Praha;muži;48;2012-2013;30.65218729
Naděje dožití (ex);Hlavní město Praha;muži;48;2013-2014;30.98089397
Naděje dožití (ex);Hlavní město Praha;muži;48;2014-2015;31.13450194
Naděje dožití (ex);Hlavní město Praha;muži;48;2015-2016;31.23004691
Naděje dožití (ex);Hlavní město Praha;muži;48;2016-2017;31.4675802
Naděje dožití (ex);Hlavní město Praha;muži;48;2017-2018;31.6498618743
Naděje dožití (ex);Hlavní město Praha;muži;48;2018-2019;31.7927676607
Naděje dožití (ex);Hlavní město Praha;muži;48;2019-2020;31.484703694
Naděje dožití (ex);Hlavní město Praha;muži;48;2020-2021;30.4302230475
Naděje dožití (ex);Hlavní město Praha;muži;48;2021-2022;30.6159131793
Naděje dožití (ex);Hlavní město Praha;muži;48;2022-2023;31.78647695
Naděje dožití (ex);Hlavní město Praha;muži;49;2001-2002;27.13236767
Naděje dožití (ex);Hlavní město Praha;muži;49;2002-2003;27.08936159
Naděje dožití (ex);Hlavní město Praha;muži;49;2003-2004;27.36609892
Naděje dožití (ex);Hlavní město Praha;muži;49;2004-2005;27.82524602
Naděje dožití (ex);Hlavní město Praha;muži;49;2005-2006;28.23909294
Naděje dožití (ex);Hlavní město Praha;muži;49;2006-2007;28.48491636
Naděje dožití (ex);Hlavní město Praha;muži;49;2007-2008;28.72749743
Naděje dožití (ex);Hlavní město Praha;muži;49;2008-2009;28.98664694
Naděje dožití (ex);Hlavní město Praha;muži;49;2009-2010;29.01454211
Naděje dožití (ex);Hlavní město Praha;muži;49;2010-2011;29.26899585
Naděje dožití (ex);Hlavní město Praha;muži;49;2011-2012;29.51714443
Naděje dožití (ex);Hlavní město Praha;muži;49;2012-2013;29.73929386
Naděje dožití (ex);Hlavní město Praha;muži;49;2013-2014;30.07276568
Naděje dožití (ex);Hlavní město Praha;muži;49;2014-2015;30.23128368
Naděje dožití (ex);Hlavní město Praha;muži;49;2015-2016;30.3150355
Naděje dožití (ex);Hlavní město Praha;muži;49;2016-2017;30.55497893
