ČR a kraje,Ukazatel,Pohlaví,Čtvrtletí,Postavení v zaměstnání,value
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2018,Zaměstnavatelé,164.4153679
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2018,Osoby pracující na vlastní účet,700.9338811
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2018,Pomáhající rodinní příslušníci,25.5647134
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2018,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2017,Celkem,5262.6911043
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2017,"Zaměstnanci, členové produkčních družstev",4374.4592481
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2017,Zaměstnavatelé,162.2865637
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2017,Osoby pracující na vlastní účet,702.1879235
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2017,Pomáhající rodinní příslušníci,23.5354881
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2017,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2017,Celkem,5257.2603289
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2017,"Zaměstnanci, členové produkčních družstev",4360.326263
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2017,Zaměstnavatelé,160.7850072
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2017,Osoby pracující na vlastní účet,712.0057113
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2017,Pomáhající rodinní příslušníci,24.1433474
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2017,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2017,Celkem,5197.2647047
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2017,"Zaměstnanci, členové produkčních družstev",4298.498857
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2017,Zaměstnavatelé,164.6348696
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2017,Osoby pracující na vlastní účet,708.5068063
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2017,Pomáhající rodinní příslušníci,25.52776
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2017,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2017,Celkem,5169.2030438
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2017,"Zaměstnanci, členové produkčních družstev",4276.9511596
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2017,Zaměstnavatelé,167.5074689
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2017,Osoby pracující na vlastní účet,699.1370228
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2017,Pomáhající rodinní příslušníci,25.5166703
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2017,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2016,Celkem,5187.4355657
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2016,"Zaměstnanci, členové produkčních družstev",4283.4512347
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2016,Zaměstnavatelé,161.8593615
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2016,Osoby pracující na vlastní účet,713.5477376
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2016,Pomáhající rodinní příslušníci,28.4848734
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2016,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2016,Celkem,5151.712175
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2016,"Zaměstnanci, členové produkčních družstev",4268.274773
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2016,Zaměstnavatelé,158.778707
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2016,Osoby pracující na vlastní účet,700.0446737
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2016,Pomáhající rodinní příslušníci,24.5150417
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2016,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2016,Celkem,5128.4930034
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2016,"Zaměstnanci, členové produkčních družstev",4243.9774452
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2016,Zaměstnavatelé,161.1130686
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2016,Osoby pracující na vlastní účet,697.5511105
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2016,Pomáhající rodinní příslušníci,25.74222
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2016,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2016,Celkem,5086.67095456
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2016,"Zaměstnanci, členové produkčních družstev",4231.31517935
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2016,Zaměstnavatelé,163.56321941
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2016,Osoby pracující na vlastní účet,662.33169848
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2016,Pomáhající rodinní příslušníci,29.4608573200001
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2016,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2015,Celkem,5075.88421729
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2015,"Zaměstnanci, členové produkčních družstev",4204.91551391
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2015,Zaměstnavatelé,171.90363236
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2015,Osoby pracující na vlastní účet,667.99249929
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2015,Pomáhající rodinní příslušníci,31.0725717300001
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2015,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2015,Celkem,5060.30002043
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2015,"Zaměstnanci, členové produkčních družstev",4188.66751497
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2015,Zaměstnavatelé,178.20105427
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2015,Osoby pracující na vlastní účet,664.6090982
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2015,Pomáhající rodinní příslušníci,28.8223529900001
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2015,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2015,Celkem,5044.28464608
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2015,"Zaměstnanci, členové produkčních družstev",4161.27808699
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2015,Zaměstnavatelé,182.37779166
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2015,Osoby pracující na vlastní účet,668.07203507
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2015,Pomáhající rodinní příslušníci,32.5567323600001
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2015,Nezjištěno,0.0
