Území;Ukazatel;Typ indexu;Očištění;CZ-NACE;Úhrn 12 měsíců;value
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2012;101.1195858233
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2012;100.9061178346
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2012;101.4585960716
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2012;101.9386351924
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2012;101.6719050366
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2012;102.473475225
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2012;103.8020261399
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2012;103.9207527827
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2012;104.5729282712
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2012;105.0332830829
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2011;105.8914790244
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2011;106.4886379867
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2011;107.3084894882
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2011;107.902543476
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2011;108.8711149598
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2011;109.4440415775
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2011;109.7466179487
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2011;109.7583148925
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2011;109.6496693694
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2011;110.124960166
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2011;110.1676963387
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2011;109.5438209279
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2010;108.626370205
