Území;Čtvrtletí;Země;Ukazatel;value
Česko;4. čtvrtletí 2024;Bonaire, Svatý Eustach a Saba;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Bonaire, Svatý Eustach a Saba;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Bonaire, Svatý Eustach a Saba;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Bosna a Hercegovina;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Bosna a Hercegovina;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Bosna a Hercegovina;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Bosna a Hercegovina;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Bosna a Hercegovina;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Bosna a Hercegovina;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Bosna a Hercegovina;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Botswana;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Botswana;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Botswana;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Botswana;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Botswana;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Botswana;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Botswana;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Bouvetův ostrov;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Bouvetův ostrov;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Bouvetův ostrov;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Bouvetův ostrov;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Bouvetův ostrov;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Bouvetův ostrov;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Bouvetův ostrov;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Brazílie;Pohyb zboží z ČR (v mil. Kč, FOB);3349.229543
Česko;4. čtvrtletí 2024;Brazílie;Pohyb zboží do ČR (v mil. Kč, CIF);1652.743024
