Území;Čtvrtletí;Odvětví ekonomické činnosti;Ukazatel;value
Česko;4. čtvrtletí 2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);2718.6618104958
Česko;4. čtvrtletí 2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.436966767
Česko;4. čtvrtletí 2024;F - Stavebnictví;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);213.1483151636
Česko;4. čtvrtletí 2024;F - Stavebnictví;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);0.5438339125
Česko;4. čtvrtletí 2024;F - Stavebnictví;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.2557960723
Česko;4. čtvrtletí 2024;F - Stavebnictví;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);42530.9256707393
Česko;4. čtvrtletí 2024;F - Stavebnictví;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);3832.558809713
Česko;4. čtvrtletí 2024;F - Stavebnictví;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);109.9036706729
Česko;4. čtvrtletí 2024;F - Stavebnictví;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);219.4494332452
Česko;4. čtvrtletí 2024;F - Stavebnictví;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);0.7219334502
Česko;4. čtvrtletí 2024;F - Stavebnictví;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.3300606695
Česko;4. čtvrtletí 2024;F - Stavebnictví;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);41309.7223128245
Česko;4. čtvrtletí 2024;F - Stavebnictví;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);3694.670618534
Česko;4. čtvrtletí 2024;F - Stavebnictví;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);109.8223196623
Česko;4. čtvrtletí 2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);503.7725821999
Česko;4. čtvrtletí 2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);0.0103580153
Česko;4. čtvrtletí 2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.0020561318
Česko;4. čtvrtletí 2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);45206.6023898333
Česko;4. čtvrtletí 2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);3395.5350797017
Česko;4. čtvrtletí 2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);108.121139445
Česko;4. čtvrtletí 2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);533.0518147388
Česko;4. čtvrtletí 2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);1.7172280879
Česko;4. čtvrtletí 2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.323191475
Česko;4. čtvrtletí 2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Průměrná hrubá měsíční mzda na fyzické osoby (Kč);42723.5142789404
Česko;4. čtvrtletí 2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);3082.1342655531
Česko;4. čtvrtletí 2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);107.7750428076
Česko;4. čtvrtletí 2024;H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);254.881034299
Česko;4. čtvrtletí 2024;H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);-2.1325141966
Česko;4. čtvrtletí 2024;H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);99.1702716806
Česko;4. čtvrtletí 2024;H - Doprava a skladování;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);45043.0213585713
Česko;4. čtvrtletí 2024;H - Doprava a skladování;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);3561.3315011725
Česko;4. čtvrtletí 2024;H - Doprava a skladování;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);108.585309599
Česko;4. čtvrtletí 2024;H - Doprava a skladování;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);261.6256570938
Česko;4. čtvrtletí 2024;H - Doprava a skladování;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);0.329850929
Česko;4. čtvrtletí 2024;H - Doprava a skladování;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.1262365952
Česko;4. čtvrtletí 2024;H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);43881.8271852727
Česko;4. čtvrtletí 2024;H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);3079.9618039337
Česko;4. čtvrtletí 2024;H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);107.5485808679
Česko;4. čtvrtletí 2024;I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);117.7819270184
Česko;4. čtvrtletí 2024;I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);4.0953457152
Česko;4. čtvrtletí 2024;I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);103.6023123119
Česko;4. čtvrtletí 2024;I - Ubytování, stravování a pohostinství;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);29126.4459515531
Česko;4. čtvrtletí 2024;I - Ubytování, stravování a pohostinství;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);2714.435509539
Česko;4. čtvrtletí 2024;I - Ubytování, stravování a pohostinství;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);110.2772771331
Česko;4. čtvrtletí 2024;I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);126.4802140423
Česko;4. čtvrtletí 2024;I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);4.9171347269
