Území,Roky,Ukazatel,value
Česko,2001,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",2728.962886621
Česko,2001,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",72188.9266212177
Česko,2001,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",5897.7847875029
Česko,2000,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",265007.401933012
Česko,2000,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",261084.390214174
Česko,2000,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",197575.280104068
Česko,2000,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",30445.183557845
Česko,2000,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",38402.4474422817
Česko,2000,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",54264.9269287253
Česko,2000,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",70402.9561456804
Česko,2000,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",4059.7660295356
Česko,2000,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",63509.1101101064
Česko,2000,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",3923.0117188374
Česko,1999,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",244066.642968698
Česko,1999,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",241106.155144678
Česko,1999,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",180680.153839981
Česko,1999,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",28635.169528929
Česko,1999,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",35447.784119109
Česko,1999,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",51369.9080859048
