Ukazatel,Území,Pořadí narození,Rodinný stav matky,Věk matky (jednoleté skupiny),Roky,value
Živě narození,Česko,Celkem,Celkem,30,2019,8758.0
Živě narození,Česko,Celkem,Celkem,30,2018,8879.0
Živě narození,Česko,Celkem,Celkem,30,2017,8835.0
Živě narození,Česko,Celkem,Celkem,30,2016,8620.0
Živě narození,Česko,Celkem,Celkem,30,2015,8733.0
Živě narození,Česko,Celkem,Celkem,30,2014,8794.0
Živě narození,Česko,Celkem,Celkem,30,2013,8333.0
Živě narození,Česko,Celkem,Celkem,30,2012,8668.0
Živě narození,Česko,Celkem,Celkem,30,2011,8699.0
Živě narození,Česko,Celkem,Celkem,30,2010,10062.0
Živě narození,Česko,Celkem,Celkem,30,2009,10712.0
Živě narození,Česko,Celkem,Celkem,30,2008,11071.0
Živě narození,Česko,Celkem,Celkem,30,2007,10610.0
Živě narození,Česko,Celkem,Celkem,30,2006,9686.0
Živě narození,Česko,Celkem,Celkem,30,2005,8937.0
Živě narození,Česko,Celkem,Celkem,30,2004,8018.0
Živě narození,Česko,Celkem,Celkem,30,2003,6664.0
Živě narození,Česko,Celkem,Celkem,30,2002,5629.0
Živě narození,Česko,Celkem,Celkem,30,2001,4915.0
Živě narození,Česko,Celkem,Celkem,31,2024,
Živě narození,Česko,Celkem,Celkem,31,2023,7017.0
Živě narození,Česko,Celkem,Celkem,31,2022,8191.0
Živě narození,Česko,Celkem,Celkem,31,2021,8760.0
Živě narození,Česko,Celkem,Celkem,31,2020,8675.0
Živě narození,Česko,Celkem,Celkem,31,2019,8436.0
Živě narození,Česko,Celkem,Celkem,31,2018,8502.0
Živě narození,Česko,Celkem,Celkem,31,2017,8617.0
Živě narození,Česko,Celkem,Celkem,31,2016,8694.0
Živě narození,Česko,Celkem,Celkem,31,2015,8453.0
Živě narození,Česko,Celkem,Celkem,31,2014,8380.0
Živě narození,Česko,Celkem,Celkem,31,2013,8287.0
Živě narození,Česko,Celkem,Celkem,31,2012,8457.0
Živě narození,Česko,Celkem,Celkem,31,2011,8912.0
Živě narození,Česko,Celkem,Celkem,31,2010,10062.0
Živě narození,Česko,Celkem,Celkem,31,2009,10066.0
Živě narození,Česko,Celkem,Celkem,31,2008,10144.0
Živě narození,Česko,Celkem,Celkem,31,2007,9469.0
Živě narození,Česko,Celkem,Celkem,31,2006,8596.0
Živě narození,Česko,Celkem,Celkem,31,2005,7526.0
Živě narození,Česko,Celkem,Celkem,31,2004,6200.0
Živě narození,Česko,Celkem,Celkem,31,2003,4953.0
Živě narození,Česko,Celkem,Celkem,31,2002,4425.0
Živě narození,Česko,Celkem,Celkem,31,2001,4044.0
Živě narození,Česko,Celkem,Celkem,32,2024,
Živě narození,Česko,Celkem,Celkem,32,2023,6944.0
Živě narození,Česko,Celkem,Celkem,32,2022,7333.0
Živě narození,Česko,Celkem,Celkem,32,2021,8317.0
