Ukazatel;Území;Druh zemědělské plodiny;Roky;value
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zrno;2012;928147.38
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zrno;2013;675380.27
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zrno;2014;832235.46
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zrno;2015;442709.04
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zrno;2016;845765.09
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zrno;2017;588105.44
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zrno;2018;489153.85
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zrno;2019;620261.11
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zrno;2020;825499.48
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zrno;2021;988038.44
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zrno;2022;639466.65
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zrno;2023;507539.58
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zrno;2024;712240.84
Sklizeň zemědělských plodin (t);Česko;Pohanka;2009;
Sklizeň zemědělských plodin (t);Česko;Pohanka;2010;
Sklizeň zemědělských plodin (t);Česko;Pohanka;2011;
Sklizeň zemědělských plodin (t);Česko;Pohanka;2012;
Sklizeň zemědělských plodin (t);Česko;Pohanka;2013;
Sklizeň zemědělských plodin (t);Česko;Pohanka;2014;
Sklizeň zemědělských plodin (t);Česko;Pohanka;2015;
Sklizeň zemědělských plodin (t);Česko;Pohanka;2016;
Sklizeň zemědělských plodin (t);Česko;Pohanka;2017;
Sklizeň zemědělských plodin (t);Česko;Pohanka;2018;
Sklizeň zemědělských plodin (t);Česko;Pohanka;2019;
Sklizeň zemědělských plodin (t);Česko;Pohanka;2020;
Sklizeň zemědělských plodin (t);Česko;Pohanka;2021;
Sklizeň zemědělských plodin (t);Česko;Pohanka;2022;
Sklizeň zemědělských plodin (t);Česko;Pohanka;2023;4699.23
Sklizeň zemědělských plodin (t);Česko;Pohanka;2024;2877.35
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny a směsi obilovin na zrno;2009;14547.07
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny a směsi obilovin na zrno;2010;11343.21
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny a směsi obilovin na zrno;2011;14721.78
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny a směsi obilovin na zrno;2012;22675.26
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny a směsi obilovin na zrno;2013;13170.43
