Ukazatel;Území;Věk ženy (jednoleté skupiny);Roky;value
Rozvody;Česko;42;2005;1026.0
Rozvody;Česko;42;2004;959.0
Rozvody;Česko;42;2003;782.0
Rozvody;Česko;42;2002;791.0
Rozvody;Česko;42;2001;712.0
Rozvody;Česko;43;2024;
Rozvody;Česko;43;2023;820.0
Rozvody;Česko;43;2022;884.0
Rozvody;Česko;43;2021;1026.0
Rozvody;Česko;43;2020;1061.0
Rozvody;Česko;43;2019;1183.0
Rozvody;Česko;43;2018;1215.0
Rozvody;Česko;43;2017;1216.0
Rozvody;Česko;43;2016;1058.0
Rozvody;Česko;43;2015;963.0
Rozvody;Česko;43;2014;1030.0
Rozvody;Česko;43;2013;947.0
Rozvody;Česko;43;2012;860.0
Rozvody;Česko;43;2011;966.0
Rozvody;Česko;43;2010;959.0
Rozvody;Česko;43;2009;907.0
Rozvody;Česko;43;2008;1050.0
Rozvody;Česko;43;2007;1021.0
Rozvody;Česko;43;2006;923.0
Rozvody;Česko;43;2005;893.0
Rozvody;Česko;43;2004;810.0
Rozvody;Česko;43;2003;784.0
Rozvody;Česko;43;2002;677.0
Rozvody;Česko;43;2001;789.0
Rozvody;Česko;44;2024;
Rozvody;Česko;44;2023;825.0
Rozvody;Česko;44;2022;884.0
Rozvody;Česko;44;2021;976.0
Rozvody;Česko;44;2020;1086.0
Rozvody;Česko;44;2019;1170.0
Rozvody;Česko;44;2018;1132.0
Rozvody;Česko;44;2017;1049.0
Rozvody;Česko;44;2016;913.0
Rozvody;Česko;44;2015;945.0
Rozvody;Česko;44;2014;903.0
Rozvody;Česko;44;2013;857.0
Rozvody;Česko;44;2012;814.0
Rozvody;Česko;44;2011;816.0
Rozvody;Česko;44;2010;931.0
Rozvody;Česko;44;2009;903.0
Rozvody;Česko;44;2008;998.0
Rozvody;Česko;44;2007;861.0
Rozvody;Česko;44;2006;762.0
